id,uuid,content,tags,project,theme,created_at,importance,related_to,memory_type,use_count,last_used,version,is_obsolete
1,ec403e5c-5d1c-4919-aa91-c99e93b66f1a,"Alma es un CLI chat especializado en pentesting y programación que combina DeepSeek AI con memoria persistente","alma,cli,chat,pentesting",alma-core,architecture,"2025-11-21 07:24:33",5,architecture,institutional,20,"2025-11-21 11:38:06",1.0.0,0
2,70d407ae-b820-44ba-a50d-921708f2f890,"El sistema de Alma usa SQLite con UUIDs para gestionar memorias con importancia del 1 al 5 y contadores de uso","sqlite,uuid,database,memories",alma-core,architecture,"2025-11-21 07:24:33",5,architecture,structure,19,"2025-11-21 11:30:21",1.0.0,0
3,1cd7f204-1735-4cc7-a173-027fdbfeafc0,"Comando /add: Guarda nuevas memorias en la base de datos para consultas futuras","add,command,memoria",alma-core,programming,"2025-11-21 07:24:33",4,programming,function,5,"2025-11-21 10:59:38",1.0.0,0
4,95ce268b-7421-4348-a658-5680d38abaff,"Comando /memories: Lista las 10 memorias más recientes con sus contadores de uso","memories,command,listar",alma-core,programming,"2025-11-21 07:24:33",3,programming,function,0,"2025-11-21 07:24:33",1.0.0,0
5,e5cdc93e-c4f2-4988-a5e8-48eeec715e5a,"Comando /exit: Cierra la sesión del chat Alma","exit,command,salir",alma-core,programming,"2025-11-21 07:24:33",4,programming,function,1,"2025-11-21 07:33:25",1.0.0,0
6,feecbcc0-83a0-4c32-a624-08d4e8630a82,"Alma busca automáticamente memorias relevantes antes de cada respuesta usando keywords del input del usuario","busqueda,keywords,relevancia",alma-core,architecture,"2025-11-21 07:24:33",5,architecture,function,22,"2025-11-21 11:38:06",1.0.0,0
7,191f5b7f-6574-4364-a903-de274ba847f0,"La importancia de las memorias va de 1 a 5 estrellas y afecta su prioridad en búsquedas","importancia,estrellas,prioridad",alma-core,architecture,"2025-11-21 07:24:33",3,architecture,structure,0,"2025-11-21 07:24:33",1.0.0,0
8,5cd38f4e-9a9a-4345-ac46-35b09da45b51,"Las memorias se categorizan en: institutional, context, alma, bird, architecture, structure, function","categorias,tipos,memoria",alma-core,architecture,"2025-11-21 07:24:33",5,architecture,structure,4,"2025-11-21 11:38:06",1.0.0,0
9,3bdc1a97-e421-48a2-a633-97bd771db3dd,"El contador use_count incrementa cada vez que una memoria es usada en una respuesta","use_count,contador,uso",alma-core,architecture,"2025-11-21 07:24:33",3,architecture,structure,2,"2025-11-21 08:53:04",1.0.0,0
10,0b616196-5025-48cc-ae05-7675b0471b4e,"Alma está diseñado para evolucionar hacia un agente pentester de compañía con múltiples funciones especializadas","agente,pentester,evolucion",alma-vision,philosophy,"2025-11-21 07:24:33",5,philosophy,alma,7,"2025-11-21 11:38:06",1.0.0,0
